,,,,
,,,,
합계 : 남자10대,날씨,,,
행정구역명,맑음,비,흐림,총계
경기도 성남시 구미1동,1509,,95,1604
경기도 성남시 구미동,534,145,49,728
경기도 성남시 금광1동,536,580,508,1624
경기도 성남시 금광동,150,128,15,293
경기도 성남시 단대동,130,392,74,596
경기도 성남시 산성동,,515,33,548
경기도 성남시 상대원2동,176,615,,791
경기도 성남시 서현2동,233,155,,388
경기도 성남시 서현동,424,520,192,1136
경기도 성남시 성남동,790,410,221,1421
경기도 성남시 수내1동,188,213,176,577
경기도 성남시 수내3동,827,,,827
경기도 성남시 수내동,1187,531,265,1983
경기도 성남시 신흥1동,289,,163,452
경기도 성남시 신흥2동,234,,99,333
경기도 성남시 신흥3동,197,24,,221
경기도 성남시 신흥동,78,,25,103
경기도 성남시 야탑1동,1907,,,1907
경기도 성남시 야탑3동,975,,840,1815
경기도 성남시 야탑동,986,,7,993
경기도 성남시 양지동,126,151,29,306
경기도 성남시 은행1동,431,350,151,932
경기도 성남시 정자1동,667,275,137,1079
경기도 성남시 정자2동,104,198,58,360
경기도 성남시 정자3동,135,25,,160
경기도 성남시 정자동,263,67,58,388
경기도 성남시 중앙동,217,60,,277
경기도 성남시 태평3동,160,334,31,525
경기도 성남시 하대원동,270,187,,457
총계,13723,5875,3226,22824